Algorithm	Subject	Run	PreparationTime	SelectionTime	FaultDetectionLoss	TestSuiteReduction	FirstFaultyTest
ART-F	grep_v3	11	0	0.035299	0.5	0.9913473424	1
ART-F	grep_v3	12	0	0.044015	0.5	0.9864029666	2
ART-F	grep_v3	13	0	0.032768	0.375	0.9876390606	2
ART-F	grep_v3	14	0	0.030977	0.375	0.9913473424	1
ART-F	grep_v3	15	0	0.030291	0.5	0.9913473424	1
ART-F	grep_v3	16	0	0.037875	0.5	0.9913473424	1
ART-F	grep_v3	17	0	0.030597	0.25	0.9925834363	1
ART-F	grep_v3	18	0	0.051879	0.375	0.9901112485	1
ART-F	grep_v3	19	0	0.039289	0.375	0.9864029666	1
ART-F	grep_v3	20	0	0.047532	0.375	0.9839307787	1
ART-F	grep_v3	21	0	0.031301	0.375	0.9888751545	1
ART-F	grep_v3	22	0	0.036122	0.375	0.9864029666	1
ART-F	grep_v3	23	0	0.031125	0.25	0.9901112485	1
ART-F	grep_v3	24	0	0.028917	0.5	0.9925834363	1
ART-F	grep_v3	25	0	0.029326	0.125	0.9876390606	2
ART-F	grep_v3	26	0	0.03034	0.375	0.9888751545	1
ART-F	grep_v3	27	0	0.028566	0.25	0.9876390606	3
ART-F	grep_v3	28	0	0.035007	0.25	0.9864029666	2
ART-F	grep_v3	29	0	0.031418	0.5	0.9888751545	1
ART-F	grep_v3	30	0	0.03936	0.625	0.9851668727	1
ART-F	grep_v3	31	0	0.02966	0.375	0.9913473424	1
ART-F	grep_v3	32	0	0.038674	0.375	0.9901112485	1
ART-F	grep_v3	33	0	0.046391	0.625	0.9839307787	1
ART-F	grep_v3	34	0	0.030091	0.25	0.9888751545	1
ART-F	grep_v3	35	0	0.031588	0.625	0.9888751545	1
ART-F	grep_v3	36	0	0.035101	0.5	0.9864029666	1
ART-F	grep_v3	37	0	0.03205	0.25	0.9876390606	1
ART-F	grep_v3	38	0	0.05012	0.375	0.9826946848	1
ART-F	grep_v3	39	0	0.049605	0.5	0.9826946848	1
ART-F	grep_v3	40	0	0.03571	0.375	0.9864029666	1
ART-F	grep_v3	41	0	0.049845	0.375	0.9826946848	1
ART-F	grep_v3	42	0	0.045306	0.375	0.9888751545	1
ART-F	grep_v3	43	0	0.043621	0.5	0.9901112485	1
ART-F	grep_v3	44	0	0.041291	0.375	0.9913473424	1
ART-F	grep_v3	45	0	0.041591	0.625	0.9876390606	1
ART-F	grep_v3	46	0	0.040731	0.375	0.9901112485	2
ART-F	grep_v3	47	0	0.048726	0.5	0.9864029666	1
ART-F	grep_v3	48	0	0.070552	0.375	0.9814585909	2
ART-F	grep_v3	49	0	0.042442	0.25	0.9876390606	1
ART-F	grep_v3	50	0	0.042	0.125	0.9876390606	1
ART-F	gzip_v1	1	0	2.702887	0	0.1214953271	1
ART-F	gzip_v1	2	0	2.845252	0	0.0981308411	1
ART-F	gzip_v1	3	0	3.087002	0	0.046728972	1
ART-F	gzip_v1	4	0	2.970629	0	0.0841121495	1
ART-F	gzip_v1	5	0	2.448817	0.1428571429	0.1542056075	1
ART-F	gzip_v1	6	0	2.591386	0	0.1261682243	1
ART-F	gzip_v1	7	0	1.630638	0	0.3037383178	1
ART-F	gzip_v1	8	0	2.464551	0	0.1448598131	1
ART-F	gzip_v1	9	0	2.778525	0	0.1074766355	1
ART-F	gzip_v1	10	0	1.197165	0.1428571429	0.3971962617	1
ART-F	gzip_v1	11	0	2.578838	0.1428571429	0.1261682243	1
ART-F	gzip_v1	12	0	2.974915	0	0.0841121495	1
ART-F	gzip_v1	13	0	2.227987	0	0.1869158879	1
ART-F	gzip_v1	14	0	2.939398	0	0.1028037383	1
ART-F	gzip_v1	15	0	2.598423	0	0.1448598131	1
ART-F	gzip_v1	16	0	3.384025	0	0	1
ART-F	gzip_v1	17	0	2.760966	0	0.1168224299	1
ART-F	gzip_v1	18	0	1.178566	0.1428571429	0.4205607477	1
ART-F	gzip_v1	19	0	2.165393	0.1428571429	0.2242990654	1
ART-F	gzip_v1	20	0	1.388979	0	0.3598130841	1
ART-F	gzip_v1	21	0	2.721034	0	0.1261682243	1
ART-F	gzip_v1	22	0	3.519785	0	0.0280373832	1
ART-F	gzip_v1	23	0	1.923347	0	0.2710280374	1
ART-F	gzip_v1	24	0	2.353024	0	0.191588785	1
ART-F	gzip_v1	25	0	2.922449	0	0.1214953271	1
ART-F	gzip_v1	26	0	2.267656	0	0.1869158879	1
ART-F	gzip_v1	27	0	2.360102	0	0.1542056075	1
ART-F	gzip_v1	28	0	2.143914	0	0.214953271	1
ART-F	gzip_v1	29	0	2.906938	0.1428571429	0.0981308411	1
ART-F	gzip_v1	30	0	3.120634	0	0.0841121495	1
ART-F	gzip_v1	31	0	2.053665	0	0.2429906542	1
ART-F	gzip_v1	32	0	2.026843	0	0.2476635514	1
ART-F	gzip_v1	33	0	2.187218	0	0.214953271	1
ART-F	gzip_v1	34	0	3.356689	0	0.0560747664	1
ART-F	gzip_v1	35	0	2.495544	0	0.1682242991	1
ART-F	gzip_v1	36	0	3.348696	0	0.0514018692	1
ART-F	gzip_v1	37	0	2.38182	0.1428571429	0.1962616822	1
ART-F	gzip_v1	38	0	2.568183	0	0.1775700935	1
ART-F	gzip_v1	39	0	1.552651	0	0.3317757009	1
ART-F	gzip_v1	40	0	2.100746	0	0.2242990654	1
ART-F	gzip_v1	41	0	2.029654	0.1428571429	0.2336448598	1
ART-F	gzip_v1	42	0	1.921774	0.1428571429	0.2476635514	1
ART-F	gzip_v1	43	0	3.371072	0	0.0093457944	1
ART-F	gzip_v1	44	0	3.272287	0	0.0514018692	1
ART-F	gzip_v1	45	0	2.963935	0	0.0841121495	1
ART-F	gzip_v1	46	0	3.311117	0	0.0140186916	1
ART-F	gzip_v1	47	0	1.832728	0	0.2897196262	1
ART-F	gzip_v1	48	0	3.574084	0	0	1
ART-F	gzip_v1	49	0	3.205176	0	0.0934579439	1
ART-F	gzip_v1	50	0	2.990226	0	0.1074766355	1
ART-F	make_v1	1	0	143.720819	0	0.0274285714	1
ART-F	make_v1	2	0	157.086724	0	0.0388571429	1
ART-F	make_v1	3	0	154.39415	0	0.0377142857	1
ART-F	make_v1	4	0	83.322339	0.5263157895	0.3462857143	1
ART-F	make_v1	5	0	98.97825	0	0.2217142857	2
ART-F	make_v1	6	0	52.031681	0.5263157895	0.4377142857	1
ART-F	make_v1	7	0	140.761548	0	0.0731428571	1
ART-F	make_v1	8	0	86.311426	0	0.2548571429	1
ART-F	make_v1	9	0	123.230965	0	0.1085714286	1
ART-F	make_v1	10	0	106.766699	0	0.168	1
ART-F	make_v1	11	0	82.1765	0	0.2662857143	1
ART-F	make_v1	12	0	70.382708	0	0.3245714286	1
ART-F	make_v1	13	0	84.124466	0.5263157895	0.2548571429	1
ART-F	make_v1	14	0	67.857269	0	0.3348571429	1
ART-F	make_v1	15	0	82.036345	0.5263157895	0.2685714286	1
ART-F	make_v1	16	0	152.688224	0	0.0251428571	1
ART-F	make_v1	17	0	60.493933	0	0.3817142857	1
ART-F	make_v1	18	0	150.338852	0	0.0251428571	1
ART-F	make_v1	19	0	138.949126	0	0.0502857143	6
ART-F	make_v1	20	0	122.173699	0	0.1062857143	1
ART-F	make_v1	21	0	64.002304	0.5263157895	0.3508571429	1
ART-F	make_v1	22	0	56.815143	0	0.3805714286	1
ART-F	make_v1	23	0	92.074611	0	0.2365714286	1
ART-F	make_v1	24	0	69.527863	0.5263157895	0.3131428571	1
ART-F	make_v1	25	0	118.152755	0	0.1062857143	6
ART-F	make_v1	26	0	130.881432	0	0.072	1
ART-F	make_v1	27	0	103.765719	0	0.1691428571	1
ART-F	make_v1	28	0	63.250506	0	0.3462857143	1
ART-F	make_v1	29	0	118.352741	0.5263157895	0.1177142857	1
ART-F	make_v1	30	0	144.694593	0	0.0205714286	3
ART-F	make_v1	31	0	47.871842	0	0.4365714286	2
