Algorithm	Subject	Run	PreparationTime	SelectionTime	FaultDetectionLoss	TestSuiteReduction	FirstFaultyTest
ART-D	time_v1	40	0	3.38983	0	0	90
ART-D	time_v1	41	0	4.085379	0	0	37
ART-D	time_v1	42	0	3.581295	0	0.0163934426	62
ART-D	time_v1	43	0	3.422592	0	0	91
ART-D	time_v1	44	0	3.015912	0	0.0081967213	84
ART-D	time_v1	45	0	3.721453	0	0	66
ART-D	time_v1	46	0	3.920367	0	0	117
ART-D	time_v1	47	0	3.692487	0	0.0081967213	94
ART-D	time_v1	48	0	3.989603	0	0.0327868852	14
ART-D	time_v1	49	0	3.925437	0	0	96
ART-D	time_v1	50	0	3.348876	0	0	56
ART-F	chart_v1	1	0	45.340681	0	0	295
ART-F	chart_v1	2	0	45.330567	0	0	92
ART-F	chart_v1	3	0	46.107943	0	0.0028169014	185
ART-F	chart_v1	4	0	45.039704	0	0	282
ART-F	chart_v1	5	0	38.115832	0	0.0028169014	135
ART-F	chart_v1	6	0	37.238482	0	0	175
ART-F	chart_v1	7	0	32.866241	0	0	94
ART-F	chart_v1	8	0	31.06313	0	0.0028169014	206
ART-F	chart_v1	9	0	31.12056	0	0	324
ART-F	chart_v1	10	0	29.263426	0	0.0028169014	18
ART-F	chart_v1	11	0	30.16901	0	0	89
ART-F	chart_v1	12	0	29.969371	0	0.0028169014	74
ART-F	chart_v1	13	0	29.74662	0	0	322
ART-F	chart_v1	14	0	30.366177	0	0	294
ART-F	chart_v1	15	0	29.585902	0	0	25
ART-F	chart_v1	16	0	30.172179	0	0	35
ART-F	chart_v1	17	0	30.553464	0	0	92
ART-F	chart_v1	18	0	31.661652	0	0.0056338028	183
ART-F	chart_v1	19	0	30.527466	0	0.0056338028	164
ART-F	chart_v1	20	0	30.395598	0	0	184
ART-F	chart_v1	21	0	30.494233	0	0.0028169014	333
ART-F	chart_v1	22	0	30.231512	0	0.014084507	298
ART-F	chart_v1	23	0	30.317264	0	0.0084507042	114
ART-F	chart_v1	24	0	30.378245	0	0	135
ART-F	chart_v1	25	0	29.65687	0	0	112
ART-F	chart_v1	26	0	30.880263	0	0.0028169014	23
ART-F	chart_v1	27	0	31.284439	0	0	53
ART-F	chart_v1	28	0	31.888698	0	0.0028169014	144
ART-F	chart_v1	29	0	30.060521	0	0	325
ART-F	chart_v1	30	0	30.033931	0	0.0028169014	95
ART-F	chart_v1	31	0	30.491896	0	0	334
ART-F	chart_v1	32	0	30.859766	0	0	268
ART-F	chart_v1	33	0	29.986002	0	0	256
ART-F	chart_v1	34	0	30.835365	0	0	143
ART-F	chart_v1	35	0	30.528669	0	0.0056338028	254
ART-F	chart_v1	36	0	30.926057	0	0.0084507042	15
ART-F	chart_v1	37	0	31.540224	0	0.0028169014	314
ART-F	chart_v1	38	0	30.947169	0	0	254
ART-F	chart_v1	39	0	29.887204	0	0.0028169014	232
ART-F	chart_v1	40	0	30.716926	0	0.0028169014	213
ART-F	chart_v1	41	0	29.260516	0	0	54
ART-F	chart_v1	42	0	29.901123	0	0	248
ART-F	chart_v1	43	0	30.276878	0	0	202
ART-F	chart_v1	44	0	30.78307	0	0	77
ART-F	chart_v1	45	0	31.187556	0	0.0028169014	15
ART-F	chart_v1	46	0	30.708085	0	0.0028169014	137
ART-F	chart_v1	47	0	30.861985	0	0.0028169014	343
ART-F	chart_v1	48	0	31.402476	0	0.0028169014	5
ART-F	chart_v1	49	0	30.31114	0	0	335
ART-F	chart_v1	50	0	29.747387	0	0.0028169014	208
ART-F	closure_v1	1	0	66.612644	0	0	46
ART-F	closure_v1	2	0	67.463679	0	0	107
ART-F	closure_v1	3	0	64.804976	0	0.0046082949	29
ART-F	closure_v1	4	0	65.182674	0	0.0092165899	3
ART-F	closure_v1	5	0	65.940215	0	0	38
ART-F	closure_v1	6	0	65.682909	0	0	48
ART-F	closure_v1	7	0	65.479062	0	0	19
ART-F	closure_v1	8	0	67.160005	0	0	8
ART-F	closure_v1	9	0	65.16785	0	0	112
ART-F	closure_v1	10	0	66.319709	0	0.0046082949	73
ART-F	closure_v1	11	0	66.678864	0	0	7
ART-F	closure_v1	12	0	65.202197	0	0.0092165899	16
ART-F	closure_v1	13	0	66.335974	0	0.0092165899	2
ART-F	closure_v1	14	0	65.593499	0	0	10
ART-F	closure_v1	15	0	64.093473	0	0	59
ART-F	closure_v1	16	0	66.993822	0	0.0046082949	119
ART-F	closure_v1	17	0	68.125158	0	0.0046082949	23
ART-F	closure_v1	18	0	65.357206	0	0	41
ART-F	closure_v1	19	0	66.018339	0	0.0046082949	48
ART-F	closure_v1	20	0	67.099743	0	0	10
ART-F	closure_v1	21	0	68.341149	0	0	109
ART-F	closure_v1	22	0	68.187788	0	0	29
ART-F	closure_v1	23	0	66.946979	0	0	18
ART-F	closure_v1	24	0	69.289801	0	0	29
ART-F	closure_v1	25	0	68.128346	0	0.0046082949	63
ART-F	closure_v1	26	0	66.193849	0	0	138
ART-F	closure_v1	27	0	66.410868	0	0	58
ART-F	closure_v1	28	0	67.340569	0	0	11
ART-F	closure_v1	29	0	66.363031	0	0.0046082949	23
ART-F	closure_v1	30	0	65.946794	0	0.0046082949	35
ART-F	closure_v1	31	0	65.467787	0	0.0046082949	107
ART-F	closure_v1	32	0	66.758167	0	0.0092165899	23
ART-F	closure_v1	33	0	65.93323	0	0	172
ART-F	closure_v1	34	0	65.529601	0	0.0138248848	68
ART-F	closure_v1	35	0	67.335275	0	0	7
ART-F	closure_v1	36	0	64.95642	0	0	8
ART-F	closure_v1	37	0	66.040716	0	0	47
ART-F	closure_v1	38	0	65.298552	0	0	91
ART-F	closure_v1	39	0	66.165618	0	0	38
ART-F	closure_v1	40	0	65.903673	0	0	29
ART-F	closure_v1	41	0	64.969001	0	0	102
ART-F	closure_v1	42	0	66.75271	0	0	39
ART-F	closure_v1	43	0	65.417156	0	0.0046082949	80
ART-F	closure_v1	44	0	68.708691	0	0	1
ART-F	closure_v1	45	0	65.532123	0	0.0046082949	36
ART-F	closure_v1	46	0	66.285591	0	0.0046082949	9
ART-F	closure_v1	47	0	66.66049	0	0	7
ART-F	closure_v1	48	0	65.808092	0	0.0184331797	49
ART-F	closure_v1	49	0	66.726766	0	0.0046082949	29
ART-F	closure_v1	50	0	64.694742	0	0	12
ART-F	lang_v1	1	0	2.026512	0	0	85
ART-F	lang_v1	2	0	1.921393	0	0	84
ART-F	lang_v1	3	0	1.704429	0	0.0090909091	11
ART-F	lang_v1	4	0	1.680368	0	0	63
ART-F	lang_v1	5	0	1.632059	0	0	93
ART-F	lang_v1	6	0	1.690877	0	0	84
ART-F	lang_v1	7	0	1.883551	0	0	43
ART-F	lang_v1	8	0	1.644821	0	0	84
ART-F	lang_v1	9	0	1.710099	0	0.0090909091	2
ART-F	lang_v1	10	0	1.76753	0	0	93
ART-F	lang_v1	11	0	1.877378	0	0.0181818182	84
ART-F	lang_v1	12	0	1.820206	0	0.0090909091	1
ART-F	lang_v1	13	0	2.110886	0	0.0090909091	103
ART-F	lang_v1	14	0	1.880801	0	0.0090909091	94
ART-F	lang_v1	15	0	2.076648	0	0	25
ART-F	lang_v1	16	0	2.010571	0	0	42
ART-F	lang_v1	17	0	1.802562	0	0	75
ART-F	lang_v1	18	0	1.875704	0	0.0181818182	42
ART-F	lang_v1	19	0	1.74345	0	0	82
ART-F	lang_v1	20	0	1.605308	0	0	103
ART-F	lang_v1	21	0	1.717205	0	0	14
ART-F	lang_v1	22	0	1.865425	0	0.0090909091	92
ART-F	lang_v1	23	0	1.6791	0	0	63
ART-F	lang_v1	24	0	1.680124	0	0	23
ART-F	lang_v1	25	0	1.793483	0	0	93
ART-F	lang_v1	26	0	1.826498	0	0	44
ART-F	lang_v1	27	0	1.896762	0	0	72
ART-F	lang_v1	28	0	1.768423	0	0.0272727273	24
ART-F	lang_v1	29	0	1.973296	0	0	93
ART-F	lang_v1	30	0	1.839541	0	0	23
ART-F	lang_v1	31	0	1.779914	0	0.0090909091	93
ART-F	lang_v1	32	0	2.144853	0	0	93
ART-F	lang_v1	33	0	1.69296	0	0.0090909091	72
ART-F	lang_v1	34	0	1.615892	0	0	104
ART-F	lang_v1	35	0	1.722866	0	0	4
ART-F	lang_v1	36	0	1.686673	0	0	55
ART-F	lang_v1	37	0	1.906606	0	0	52
ART-F	lang_v1	38	0	1.859681	0	0	22
ART-F	lang_v1	39	0	1.771807	0	0.0090909091	55
ART-F	lang_v1	40	0	1.706559	0	0.0181818182	82
ART-F	lang_v1	41	0	1.794517	0	0.0181818182	4
ART-F	lang_v1	42	0	1.742672	0	0.0090909091	64
ART-F	lang_v1	43	0	1.747545	0	0.0090909091	62
ART-F	lang_v1	44	0	1.872041	0	0.0090909091	101
ART-F	lang_v1	45	0	1.904389	0	0	33
ART-F	lang_v1	46	0	1.961054	0	0	62
ART-F	lang_v1	47	0	1.711144	0	0.0090909091	35
ART-F	lang_v1	48	0	1.657591	0	0	92
ART-F	lang_v1	49	0	1.697397	0	0	23
ART-F	lang_v1	50	0	1.522519	0	0	63
ART-F	math_v1	1	0	31.860444	0	0	341
ART-F	math_v1	2	0	33.326233	0	0	151
ART-F	math_v1	3	0	32.705888	0	0.0052083333	21
ART-F	math_v1	4	0	33.000007	0	0	81
ART-F	math_v1	5	0	32.289497	0	0	161
ART-F	math_v1	6	0	32.799303	0	0.0026041667	41
ART-F	math_v1	7	0	32.23778	0	0.0052083333	239
ART-F	math_v1	8	0	32.100003	0	0	91
ART-F	math_v1	9	0	32.197589	0	0.0026041667	8
ART-F	math_v1	10	0	31.508036	0	0.0182291667	69
ART-F	math_v1	11	0	32.689294	0	0	71
ART-F	math_v1	12	0	32.682162	0	0.0052083333	41
ART-F	math_v1	13	0	33.216116	0	0	251
ART-F	math_v1	14	0	32.391592	0	0	109
ART-F	math_v1	15	0	32.65108	0	0.0026041667	201
ART-F	math_v1	16	0	33.110847	0	0	29
ART-F	math_v1	17	0	33.333674	0	0	24
ART-F	math_v1	18	0	33.414092	0	0	270
ART-F	math_v1	19	0	33.197222	0	0.0052083333	199
ART-F	math_v1	20	0	32.124165	0	0	61
ART-F	math_v1	21	0	32.589967	0	0	11
ART-F	math_v1	22	0	33.484416	0	0	151
ART-F	math_v1	23	0	32.494551	0	0.0026041667	119
ART-F	math_v1	24	0	32.999198	0	0.0026041667	254
ART-F	math_v1	25	0	31.992216	0	0.0052083333	199
ART-F	math_v1	26	0	32.151354	0	0.0052083333	188
ART-F	math_v1	27	0	32.792446	0	0.0026041667	8
ART-F	math_v1	28	0	33.0873	0	0.0026041667	278
ART-F	math_v1	29	0	33.189467	0	0	89
ART-F	math_v1	30	0	31.566427	0	0.0052083333	149
ART-F	math_v1	31	0	32.426525	0	0.0026041667	131
ART-F	math_v1	32	0	33.032935	0	0.0026041667	281
ART-F	math_v1	33	0	32.507929	0	0	61
ART-F	math_v1	34	0	33.632525	0	0.0026041667	14
ART-F	math_v1	35	0	33.013474	0	0	151
ART-F	math_v1	36	0	33.250137	0	0	29
ART-F	math_v1	37	0	32.548597	0	0	91
ART-F	math_v1	38	0	32.767028	0	0	109
ART-F	math_v1	39	0	32.697134	0	0.0026041667	29
ART-F	math_v1	40	0	32.975113	0	0	131
ART-F	math_v1	41	0	32.011492	0	0.0052083333	218
ART-F	math_v1	42	0	32.672766	0	0.0026041667	141
ART-F	math_v1	43	0	32.655723	0	0.0026041667	58
ART-F	math_v1	44	0	32.184162	0	0.0026041667	169
ART-F	math_v1	45	0	32.999754	0	0.0026041667	79
ART-F	math_v1	46	0	33.72031	0	0	68
ART-F	math_v1	47	0	33.179004	0	0.0026041667	360
ART-F	math_v1	48	0	32.380211	0	0.0026041667	8
ART-F	math_v1	49	0	32.229848	0	0.0130208333	301
ART-F	math_v1	50	0	33.256037	0	0	121
ART-F	time_v1	1	0	20.862755	0	0	69
ART-F	time_v1	2	0	20.742544	0	0.0081967213	110
ART-F	time_v1	3	0	21.045809	0	0.0163934426	15
